Index,TimeTag,Alias,ARINC429
2508,0d:5h:09m:21.231 789s,Body Longitudinal Acceleration,0x03FF00D9
2509,0d:5h:09m:21.234 669s,Body Lateral Acceleration,0x1F9D00DA
2510,0d:5h:09m:21.237 549s,Body Normal Acceleration,0x17C700DB
2511,0d:5h:09m:21.240 429s,Altitude (Inertial),0x803B18F1
2512,0d:5h:09m:21.243 309s,Vertical Acceleration,0x97C700F4
2513,0d:5h:09m:21.246 189s,Inertial Vertical Velocity (EFI),0x9FC400F5
2514,0d:5h:09m:21.249 069s,g,0x041E80F8
2515,0d:5h:09m:21.285 709s,Magnetic Heading,0x0A08000C
2516,0d:5h:09m:21.288 589s,Set Magnetic Heading,0x825C0023
2517,0d:5h:09m:21.291 469s,Body Pitch Acceleration,0x9FF4E02A
2518,0d:5h:09m:21.294 349s,Body Roll Acceleration,0x8001802B
2519,0d:5h:09m:21.297 229s,Body Yaw Acceleration,0x8000402C
2520,0d:5h:09m:21.300 109s,Altitude Rate,0x1FD0008A
2521,0d:5h:09m:21.305 869s,Integrated Vertical Acceleration,0x1DDFF8B5
2522,0d:5h:09m:21.308 749s,Present Position - Latitude,0x1B05FC8
2523,0d:5h:09m:21.311 629s,Present Position - Longitude,0x8ED82FC9
2524,0d:5h:09m:21.314 509s,Ground Speed,0x80B8A0CA
2525,0d:5h:09m:21.317 389s,Pitch Angle,0x9E9AC0D4
2526,0d:5h:09m:21.320 269s,Roll Angle,0x000880D5
2527,0d:5h:09m:21.323 149s,Body Pitch Rate,0x000480D6
2528,0d:5h:09m:21.326 029s,Body Roll Rate,0x9FFF80D7
2529,0d:5h:09m:21.328 909s,Body Yaw Rate,0x800000D8
2530,0d:5h:09m:21.331 789s,Body Longitudinal Acceleration,0x048000D9
2531,0d:5h:09m:21.334 669s,Body Lateral Acceleration,0x1FCD00DA
2532,0d:5h:09m:21.337 549s,Body Normal Acceleration,0x995800DB
2533,0d:5h:09m:21.340 429s,Altitude (Inertial),0x003B29F1
2534,0d:5h:09m:21.343 309s,Vertical Acceleration,0x195800F4
2535,0d:5h:09m:21.346 189s,Inertial Vertical Velocity (EFI),0x1FD640F5
2536,0d:5h:09m:21.349 069s,g,0x841C80F8
2537,0d:5h:09m:21.385 709s,Magnetic Heading,0x0A08000C
2538,0d:5h:09m:21.388 589s,Set Magnetic Heading,0x825C0023
2539,0d:5h:09m:21.391 469s,Body Pitch Acceleration,0x1FF4C02A
2540,0d:5h:09m:21.394 349s,Body Roll Acceleration,0x0000402B
2541,0d:5h:09m:21.397 229s,Body Yaw Acceleration,0x0000002C
2542,0d:5h:09m:21.400 109s,Altitude Rate,0x9FE4008A
2543,0d:5h:09m:21.405 869s,Integrated Vertical Acceleration,0x1DE3C4B5
2544,0d:5h:09m:21.408 749s,Present Position - Latitude,0x1B05FC8
2545,0d:5h:09m:21.411 629s,Present Position - Longitude,0x8ED82FC9
2546,0d:5h:09m:21.414 509s,Ground Speed,0x00B840CA
2547,0d:5h:09m:21.417 389s,Pitch Angle,0x9E8640D4
2548,0d:5h:09m:21.420 269s,Roll Angle,0x000B80D5
2549,0d:5h:09m:21.423 149s,Body Pitch Rate,0x800400D6
2550,0d:5h:09m:21.426 029s,Body Roll Rate,0x9FFF80D7
2551,0d:5h:09m:21.428 909s,Body Yaw Rate,0x800000D8
2552,0d:5h:09m:21.431 789s,Body Longitudinal Acceleration,0x04F700D9
2553,0d:5h:09m:21.434 669s,Body Lateral Acceleration,0x9FEB00DA
